Empresa,Modalidade de apoio
Labmaq do Brasil Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
L A PHARMATEC PESQUISA E DESENVOLVIMENTO LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Avita Produtos Químicos Farmacêuticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"BRP Inovação, Assessoria e Representação Comercial Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
F W Grillo - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lipid Ingredients & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHC Serviços Administrativos e Projetos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
INVITRA - Tecnologia da Reprodução Assistida Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Capataz - Estatores Motores e Geradores Elétricos Eireli - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
LCR Kimera Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanophoton Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cross Reality Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ciaware Centro de Informatizações e Análises Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Juan Harold Sosa Arnao,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Exclusif Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Avita Produtos Químicos Farmacêuticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ciaware Centro de Informatizações e Análises Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sigmed Equipamentos Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rafael Mira de Oliveira Libardi Eireli - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sensorial Desenvolvimento de Software Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
LCR Kimera Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
INVITRA - Tecnologia da Reprodução Assistida Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
M C Tech Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
G&G Cosmética Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Visionbr Tecnologia e Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Millbox Comércio e Montagens de Equipamentos de Eletrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mairum Ceoldo Andrade - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Heranza Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technobag Indústria de Artefatos Plásticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genética Molecular Pesquisa e Desenvolvimento Ltda (GENON),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Adiel Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bionova Mudas e Plantas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rad Tech Sistemas Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Virológica Soluções em Microbiologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Al Sukkar Biotecnologia Industrial Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Virológica Soluções em Microbiologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Microcontrol Innovation Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eleve Science Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sthenos Inovações em Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mario Cesar Souza e Silva,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
V L Campo,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teiu Pesquisa e Desenvolvimento em Energia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yosen Indústria e Comércio de Produtos para Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bind Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Thiago Franco,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inanocare Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PBF Nutrientes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Baltiere Indústria, Comércio, Exportação e Importação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Neogenys Diagnóstico Molecular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Noleak Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teiu Pesquisa e Desenvolvimento em Energia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EDITBIO BIOTECNOLOGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
XAVIER & LOUREIRO BIOTEC LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eco Biotech Tecnologia em Manutenção Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Santa Martha Jardins Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clínica Ativa Ação Reabilitação Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Monera Agrocencia Inova Simples (I.S),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paula C dos Santos Suporte Técnico e Desenvolvimento de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SC Condi Assessoria Industrial,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yosen Indústria e Comércio de Produtos para Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bymycell Inova Simples Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reload Health Devices Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Progenix Pesquisa e Artigos para Laboratório Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reload Health Devices Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TagmaVisions Treinamentos Digitais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Noleak Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lipid Ingredients & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
V L Campo,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fernanda Rebel Moreira Alves,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eleve Science Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gedanken Desenvolvimento e Licenciamento de Programas de Computador Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sigmed Equipamentos Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Centro Técnico de Avaliação Genética Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eco Biotech Tecnologia em Manutenção Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yosen Indústria e Comércio de Produtos para Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
F W Grillo - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sensorial Desenvolvimento de Software Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Santa Martha Jardins Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Santa Martha Jardins Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Neogenys Diagnóstico Molecular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TagmaVisions Treinamentos Digitais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Juan Harold Sosa Arnao,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Avita Produtos Químicos Farmacêuticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rodrigo Aznar Mendes,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sardrones Aplicações e Serviços Agrícolas - Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sthenos Inovações em Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eco Biotech Tecnologia em Manutenção Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Centro Paulista de Diagnóstico, Pesquisa e Treinamento Ltda (CPDP)",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Adriana Ferreira Lopes Vilela,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eleve Science Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Radiologia IS Desenvolvimento de Programas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BTZ Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technopulp Consultoria e Comércio de Equipamentos Industriais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
