Título,Assuntos,Pesquisador Responsável,Empresa,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Tratamento experimental usando fármacos combinados para a eliminação de Leishmania infantum em modelo pré-clínico para Leishmaniose Visceral Canina,Leishmania infantum:Leishmaniose visceral animal:Terapia combinada:Tratamento:Parasitologia,Leticia de Almeida,L A PHARMATEC PESQUISA E DESENVOLVIMENTO LTDA,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
"Validação Multicêntrica e Automação do Protótipo NEOPROFILER-MB, um exame molecular para classificação de Meduloblastoma baseado na tecnologia do RT-qPCR e Inteligência Artificial",Técnicas de diagnóstico molecular:Inteligência artificial:Meduloblastoma:Oncologia pediátrica:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR):Oncologia molecular,Ricardo Bonfim Silva,Neogenys Diagnóstico Molecular Ltda,Ciências da Saúde,Medicina,Saúde Materno-infantil
Validação operacional e comercial do serviço de exame LivingOut-PDO,Tratamento do câncer:Assistência individualizada de saúde:Oncologia:Organoides,Robson Luis Ferraz do Amaral,Living Out Laboratório de Testes Celulares In Vitro Ltda,Ciências da Saúde,Farmácia,Análise Toxicológica
Desenvolvimento e validação clínica de biossensor eletroquímico para detecção de biomarcadores tumorais via biópsia líquida: do diagnóstico precoce ao monitoramento in situ,Biomarcadores:Biomarcadores tumorais:Diagnóstico precoce:Biópsia líquida:Técnicas biossensoriais:Avaliação de testes diagnósticos,Daniela Silvestrini Fernandes,Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Interdisciplinar,Não Informado,Não Informado
Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento da dermatite atópica canina,Medicina veterinária:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Exossomos:Dermatite em animal:Cães,Carolina Caliári Oliveira,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
Rede de proteção patrimonial inteligente através de câmeras de segurança e inteligência autônoma para Smart Cities,Visão computacional:Aprendizagem profunda:Cidades inteligentes:Análise do comportamento:Segurança eletrônica:Monitoramento remoto:Comportamento de risco:Bens patrimoniais,Rafael Mira de Oliveira Libardi,Noleak Tecnologia da Informação Ltda,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Desenvolvimento de células de baterias de íons-lítio contendo eletrodo anódico de óxido lamelar de vanádio modificado com nióbio (vno) e eletrodo catódico de fosfato de ferro litiado (lfp) de com fácil reciclagem,Baterias:Eletrodos:Lítio:Nióbio:Vanádio:Eletroquímica:Eletrodo,Décio Batista de Freitas Neto,Teiu Pesquisa e Desenvolvimento em Energia Ltda,Ciências Exatas e da Terra,Química,Físico-química
Estabelecimento de uma plataforma de high-throughput CRISPR screening para estudos de genômica funcional e geração de novas imunoterapias contra tumores colorretais,Neoplasias colorretais:Engenharia genética:Genômica funcional:Imunoterapia:Macrófagos,Nerry Tatiana Cecilio,EDITBIO BIOTECNOLOGIA LTDA,Ciências Biológicas,Imunologia,Imunologia Celular
Produção de interferon ômega felino em Escherichia coli,Solubilização:Medicina veterinária,Luciana Baroni,XAVIER & LOUREIRO BIOTEC LTDA,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Agricultura sustentável: bactérias imobilizadas em Biochar e seus efeitos no solo e crescimento de plantas,Fitotecnia:Agricultura sustentável:Reguladores de crescimento de plantas:Sequestro de carbono:Biocarvão:Nematicidas:Produção sustentável:Produção de alimentos,Thaís Carvalho Maester Casanova,Eco Biotech Tecnologia em Manutenção Ltda. - ME,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Produção de mudas sadias da batata yacon e desenvolvimento da cadeia produtiva na região de Ribeirão Preto - SP.,Micropropagação vegetal:Produção vegetal:Propagação vegetal:Yacon,Rita Maria Borges de Moraes,Santa Martha Jardins Ltda. - ME,Ciências Agrárias,Agronomia,Fitotecnia
Desenvolvimento e validação técnica de processo de confecção de órteses personalizadas por processos avançados,Aparelhos ortopédicos:Impressão tridimensional:Corte a laser:Parametrização:Estudos de validação,Daniela Nakandakari Goia,Clínica Ativa Ação Reabilitação Ltda. - ME,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,Não Informado
Bioinsumo composto por bactérias e nanosílica para redução de estresse térmico em culturas de arroz e feijão,Agricultura sustentável:Fixação biológica de nitrogênio:Inoculantes:Nanopartículas:Nanotecnologia:Sílica:Microbiologia agrícola,Amanda Carolina Prado de Moraes,Monera Agrocencia Inova Simples (I.S),Ciências Agrárias,Agronomia,Não Informado
Aprimoramento do algoritmo e ferramenta digital para estimativa de safra em lavouras de café arábica e sua implementação em uma plataforma digital,Agricultura:Cafeicultura:Lavoura:Safra:Café:Coffea arabica:Técnicas de estimativa:Plataforma (computação),Guilherme Jorge Gomes de Sousa,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Agronomia,Fitotecnia
Validação tecnológica da plataforma de testes moleculares mir-THYpe®: um conjunto de soluções baseadas em microRNA profiling e análise de mutações para nódulos tireoidianos,Citopatologia:Técnicas de diagnóstico molecular:MicroRNAs:Prognóstico:Glândula tireoide:Nódulo da glândula tireoide,Bruna Moretto Rodrigues,Onkos Diagnósticos Moleculares Ltda (Filial),Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Marie.IA: plataforma para rastreamento de neoplasias ovarianas,Neoplasias ovarianas:Biomarcadores:Testes hematológicos:Contagem de células sanguíneas:Inteligência artificial:Plataforma (computação),Paula Cristina dos Santos,Paula C dos Santos Suporte Técnico e Desenvolvimento de Sistemas Ltda,Interdisciplinar,Não Informado,Não Informado
Desenvolvimento de um método de propagação e secagem de leveduras para a indústria cervejeira,Microbiologia:Liofilização:Propagação:Secagem:Leveduras:Cerveja,Paula Fagundes de Gouvêa Bizzi,SC Condi Assessoria Industrial,Ciências Biológicas,Bioquímica,Bioquímica de Microorganismos
Ativos nanoestruturados para a proteção da pele da luz azul,Nanotecnologia:Envelhecimento da pele:Fotoproteção:Melanose:Urticária:Pele:Cosméticos,Daniel Roberto Callejon,Yosen Indústria e Comércio de Produtos para Saúde Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Validação tecnológica de plataforma para liberação intradérmica de fármacos,Sistemas de liberação de medicamentos:Injeções intradérmicas:Estudo de prova de conceito:Animais domésticos:Dor,Maíra Peres Ferreira Duarte,Souza P&D Farmacêutico Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Sistema de inferência de produtividade e risco de pragas em agricultura mediante análise de microbiota,Agricultura de precisão:Agronegócio:Biologia computacional:Metagenômica:Microbiota:Pragas de plantas,Rafael Silva Rocha,Bymycell Inova Simples Ltda,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
"Desenvolvimento de tecnologias rápidas e eficientes para diagnóstico de biomarcadores críticos relacionados à processos bioquímicos, nutrição e meio ambiennutrição",Estilo de vida saudável:Meio ambiente:Nutrição:Metabolômica:Biomarcadores:Prevenção de doenças:Diagnóstico,Mariana Zuccherato Bocato Kimachi,Reload Health Devices Ltda,Ciências da Saúde,Saúde Coletiva,Medicina Preventiva
"Validação tecnológica de um bioinseticida fúngico para controle biológico do Cascudinho das granjas, Alphitobius diaperinus (Coleoptera: Tenebrionidae)",Avicultura:Controle biológico:Fungos filamentosos:Inseticidas biológicos:Gallus gallus domesticus:Aviários,Larissa Galante Elias,Decoy Tecnologia em Controle de Pragas S/A,Ciências Biológicas,Ecologia,Ecologia Aplicada
"Desenvolvimento de sistema para classificação de grãos de café por cor, morfologia e características químicas",Propriedades químicas:Imagem digital:Indústria do café:Qualidade do café:Grãos:Café:Cor,Carlos Fernando Baltieri,"Baltiere Indústria, Comércio, Exportação e Importação Ltda",Ciências Agrárias,Engenharia Agrícola,Engenharia de Processamento de Produtos Agrícolas
Nanofertilizantes como estratégia para redução do estresse hídrico,Agricultura:Nanotecnologia:Fertilizantes:Espécies de oxigênio reativas,Marcelo Domingos,PBF Nutrientes Ltda,Ciências Exatas e da Terra,Química,Não Informado
Desenvolvimento de uma estratégia vacinal carreando proteína viral contra o SARS-CoV-2,Vacinas:Vacinação:Pandemias:COVID-19:SARS-CoV-2:Salmonella enterica,Marcel Montels Trevisani,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Imunologia,Imunologia Aplicada
Desenvolvimento de um eletrodo anódico de óxido lamelar de vanádio modificado com nióbio com excelente desempenho em baterias de íons de lítio e fácil reciclagem,Eletroquímica:Eletrodos:Baterias de íon-lítio:Nanotubos de carbono:Nióbio:Reciclagem:Vanádio,Décio Batista de Freitas Neto,Teiu Pesquisa e Desenvolvimento em Energia Ltda,Ciências Exatas e da Terra,Química,Físico-química
Desenvolvimento de dispositivo para detecção de câncer cerebral,Neoplasias cerebrais:Biomarcadores tumorais:Técnicas biossensoriais:Diagnóstico:Dispositivos:Monitoramento,Cristiano Ceron Jayme,Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Interdisciplinar,Não Informado,Não Informado
Desenvolvimento de produtos fitoterápicos a base de curcuminoides como anti-inflamatórios para aplicações na área veterinária,Medicina veterinária:Medicamentos fitoterápicos:Anti-inflamatórios:Diarileptanoides,Ana Carolina Rodrigues Montes,Sthenos Inovações em Saúde Ltda,Engenharias,Engenharia Química,Tecnologia Química
Plataforma digital para previsão de safra e análise da maturação dos frutos em lavouras de café arábica,Cafeicultura:Safra:Maturação dos frutos:Café:Coffea arabica:Agronegócio:Plataformas digitais,Diego Moure Oliveira,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Agronomia,Fitotecnia
Desenvolvimento comercial da plataforma de cultivo de organóides da Living Out,Oncologia:Neoplasias:Ensaios funcionais:Cultura de células:Organoides,Renato Mantelli Picoli,Living Out Laboratório de Testes Celulares In Vitro Ltda,Ciências da Saúde,Farmácia,Análise Toxicológica
Avaliação da aplicação de produto orgânico antisséptico em processo de bioetanol,Bioetanol:Setor sucroenergético:Desinfecção:Anti-infecciosos:Anti-infecciosos locais,Mário César Souza e Silva,Mario Cesar Souza e Silva,Engenharias,Engenharia Química,Tecnologia Química
Desenvolvimento e avaliação de glicoconjugados com aplicações em oncologia humana e veterinária,Química médica:Biotecnologia:Neoplasias:Glicoconjugados:Síntese:Mucinas:Atenção à saúde:Saúde pública veterinária:Antineoplásicos,Vanessa Leiria Campo,V L Campo,Ciências da Saúde,Farmácia,Não Informado
Desenvolvimento de microagulhas poliméricas para tratamento tópico do melasma,Tratamento:Fatores de risco:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose:Pele,Carla Souza,Souza P&D Farmacêutico Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento e validação de processo de multiplicação de colmeias de abelhas Apis mellifera para uso comercial,Apicultura:Polinização:Colmeias:Apis mellifera:Mel,Joyce Mayra Volpini Almeida Dias,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Zootecnia,Produção Animal
Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento de feridas,Medicina regenerativa:Células-tronco mesenquimais:Exossomos:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares:Exantema,Adriana Oliveira Manfiolli,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
Aplicação de coenzima Q10 nanoencapsulada como ingrediente pela indústria de alimentos: viabilidade tecnológica e bioacessibilidade do bioativo em iogurtes,Indústria de alimentos:Compostos bioativos:Bioacessibilidade:Ubiquinona:Encapsulação :Iogurte,Thais Carvalho Brito Oliveira,Yosen Indústria e Comércio de Produtos para Saúde Ltda,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Alimentos
Atualização e otimização do teste molecular TOT (teste de origem tumoral) para tumores metastáticos de origem primária desconhecida por meio de abordagens multi-ômicas,Oncologia:Neoplasias:Técnicas de diagnóstico molecular:Sequenciamento de nova geração:Mutação:Prognóstico:RNA,Miriane de Oliveira,Onkos Diagnósticos Moleculares Ltda (Filial),Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Síntese de nitrosaminas derivadas de IFAs ou produtos de degradação para aplicação como padrões analíticos pela indústria farmacêutica,Indústria farmacêutica:Nitrosaminas:Carbamatos:Amidas,Shaiani Maria Gil de Melo,Bind Pesquisa e Desenvolvimento Ltda,Ciências da Saúde,Farmácia,Análise e Controle de Medicamentos
Validação in vivo do bioenxerto gengival bioimpresso à base de células mesenquimais em scaffold de ácido hialurônico,Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares,Juliana Magro Ribeiro,In Situ Terapia Celular Ltda,Ciências da Saúde,Odontologia,Periodontia
STMED - Simulador de Treinamento em Medicina,Medicina:Radiologia:Radioterapia:Educação a distância:Ensino remoto:Simuladores:Plataforma (computação),Andrey Omar Mozo Uscamayta,Innolution Sistemas de Informática Ltda,Ciências da Saúde,Medicina,Clínica Médica
Otimização de plataforma de cultivo de organóides de câncer colorretal derivados de pacientes para seleção personalizada de fármacos,Oncologia:Neoplasias:Células tumorais:Cultura de células:Modelos tridimensionais de cultura de células:Organoides:Técnicas in vitro,Robson Luis Ferraz do Amaral,Living Out Laboratório de Testes Celulares In Vitro Ltda,Ciências da Saúde,Farmácia,Análise Toxicológica
Enfermagem 4.0 - inteligência artificial aplicada na elaboração automática de escalas de trabalho em organizações de saúde,Gestão em saúde:Inteligência artificial:Jornada de trabalho:Organização do trabalho:Profissionais de enfermagem,Thiago Franco,Thiago Franco,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública
Avaliação da segurança e eficácia de biocurativos 3D contendo células mesenquimais em pacientes portadores de feridas complexas,Medicina regenerativa:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Cicatrização:Curativos biológicos:Ferimentos e lesões:Úlcera cutânea,Carolina Caliári Oliveira,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
"Validação em novas indicações clínicas, otimizações e ampliação de acesso e inserção no mercado do exame mir-THYpe®, classificador molecular de nódulos tireoidianos indeterminados baseado em microRNA profiling",Citopatologia:Carcinoma:Técnicas de diagnóstico molecular:Glândula tireoide:Nódulo da glândula tireoide:Biópsia por agulha fina:MicroRNAs:Prognóstico,Marcos Tadeu dos Santos,Onkos Diagnósticos Moleculares Ltda (Filial),Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Identificação e screening biológico na busca por agentes antimicrobianos produzidos por actinobactérias contra o cancro cítrico,Fitopatologia:Actinobacteria:Doenças de plantas:Cancro (doença de planta):Compostos bioativos:Xanthomonas citri:Fatores biológicos,Tânia Petta,Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Ciências Exatas e da Terra,Química,Química Orgânica
Desenvolvimento de uma plataforma dermocosmética composta por máscaras faciais eletro-estimuladas,Cosmetologia:Dermocosméticos:Ácido hialurônico:Fibroínas de seda:Terapia por estimulação elétrica:Doenças da pele e do tecido conjuntivo:Máscaras faciais:indústria cosmética,Camila Nunes Lemos,Inanocare Ltda. - ME,Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de microagulhas poliméricas para tratamento tópico do melasma,Doenças da pele e do tecido conjuntivo:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose,Carla Souza,Souza P&D Farmacêutico Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Medicina veterinária de precisão: desenvolvimento de plataforma de análise de microbiota voltada para a saúde dos animais de estimação,Medicina veterinária:Saúde animal:Biologia computacional:Genômica:Microbiota:Nutrigenômica:Animais domésticos:Plataforma (computação),Renan Medico da Silva,Progenix Pesquisa e Artigos para Laboratório Ltda,Ciências Biológicas,Genética,Genética Molecular e de Microorganismos
Sistema de limpeza e separação pneumática de cana de açúcar e outros produtos agrícolas,Desenvolvimento de produtos:Máquinas pneumáticas:Sistemas de transporte pneumático:Produtos agrícolas:Cana-de-açúcar,José Francisco Torres,BTZ Tecnologia Ltda,Ciências Agrárias,Engenharia Agrícola,Engenharia de Processamento de Produtos Agrícolas
"Desenvolvimento de tecnologias rápidas e eficientes para diagnóstico de biomarcadores críticos relacionados a processos bioquímicos, nutrição e meio ambiente visando um estilo de vida saudável",Metabolômica:Biomarcadores:Diagnóstico precoce:Prevenção de doenças:Estilo de vida saudável:Nutrição:Meio ambiente,Anthony Alexandre Weil,Reload Health Devices Ltda,Ciências da Saúde,Saúde Coletiva,Medicina Preventiva
Desenvolvimento de uma estratégia vacinal carreando proteína viral contra o SARS-CoV-2,Desenvolvimento de vacinas:Vacinas:Administração oral:COVID-19:SARS-CoV-2:Salmonella enterica:Salmonella typhimurium:Pandemias,Marcel Montels Trevisani,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Imunologia,Imunologia Aplicada
YACON-BR: ingredientes para sabor e vida saudável,Inulina:Prebióticos:Ácido micofenólico:Frutooligossacarídeos:Alimentos funcionais:Batata:Yacon:Estilo de vida saudável,Rita Maria Borges de Moraes,Santa Martha Jardins Ltda. - ME,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
Estabelecimento de uma plataforma de classificação molecular para o meduloblastoma por qPCR em tempo real,Oncologia:Neoplasias:Meduloblastoma:Classificação molecular do câncer:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR),Ricardo Bonfim Silva,Neogenys Diagnóstico Molecular Ltda,Ciências da Saúde,Medicina,Saúde Materno-infantil
Desenvolvimento de uma plataforma para treinamento em cirurgias de pacientes específicos usando realidade aumentada e manufatura aditiva,Cirurgia assistida por computador:Plataforma (computação):Design instrucional:Impressão tridimensional:Realidade aumentada:Treinamento profissional:Médicos,Carlo Rondinoni,TagmaVisions Treinamentos Digitais Ltda,Ciências da Saúde,Medicina,Cirurgia
Análise de viabilidade técnica e econômica da implantação de uma caldeira de bagaço que integre um ciclo rankine regenerativo com reaquecimento em uma usina sucroalcooleira,Indústria sucro-alcooleira:Usina açucareira:Reaquecimento:Caldeiras:Bagaços:Biomassa:Cana-de-açúcar,Juan Harold Sosa Arnao,Juan Harold Sosa Arnao,Engenharias,Engenharia Mecânica,Engenharia Térmica
Inteligência artificial para otimização de processos pré-colheita e mensuração da produtividade em lavouras de café,Agricultura:Agronegócio:Cafeicultura:Plataforma (computação):Inteligência artificial:Produtividade:Lavoura:Pré-colheita,Diego Moure Oliveira,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Engenharia Agrícola,Máquinas e Implementos Agrícolas
Desenvolvimento de uma plataforma de síntese e certificação analítica de nitrosaminas de interesse farmacêutico,Nitrosaminas:Fluxo contínuo:Química verde:Impurezas:Química farmacêutica:Produção:Fármacos,João Luis Callegari Lopes,Avita Produtos Químicos Farmacêuticos Ltda,Ciências da Saúde,Farmácia,Não Informado
Validação técnica de constructo reconstrutor gengival bioimpresso à base de células mesenquimais ou vesículas extracelulares em scaffold de ácido hialurônico,Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Vesículas extracelulares:Tecidos suporte,Juliana Magro Ribeiro,In Situ Terapia Celular Ltda,Ciências da Saúde,Odontologia,Periodontia
Plataforma de automação para a agricultura 4.0,Engenharia agrícola:Agricultura de precisão:Sistemas embarcados:Eletrônica embarcada:Interação homem-máquina:Internet das coisas:Automação:Plataforma (computação),Rodrigo Aznar Mendes,Rodrigo Aznar Mendes,Engenharias,Engenharia Elétrica,Não Informado
Biocraft-sardrones: o dispenser voador,Agricultura:Controle de pragas:Controle biológico:Agentes de controle biológico:Cotesia flavipes:Cana-de-açúcar:Veículos aéreos não tripulados,Luis Gustavo Silva Scarpari,Sardrones Aplicações e Serviços Agrícolas - Eireli,Engenharias,Engenharia Aeroespacial,Aerodinâmica
Validação de microRNAs como biomarcadores para o diagnóstico de carcinoma medular de tireóide,Citopatologia:Carcinoma:Glândula tireoide:Carcinoma medular de tiroide:Técnicas de diagnóstico molecular:MicroRNAs:Mutação,Bruna Moretto Rodrigues,Onkos Diagnósticos Moleculares Ltda. - ME,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
